B field (G),Energy (MHz)
0.178185044,-58.04244923
1.061757201,-58.24184739
1.945311085,-58.31662171
2.828854004,-58.31662171
3.712396924,-58.31662171
4.595969081,-58.51601987
5.479563166,-58.86496666
6.363113395,-58.9148162
7.246722098,-59.36346208
8.1302906,-59.53793547
9.013895649,-59.96165657
9.897493389,-60.33552813
10.78108747,-60.68447492
11.66469252,-61.10819602
12.54831219,-61.63161621
13.43192455,-62.10518685
14.31554056,-62.60368226
15.19916388,-63.15202722
16.08278721,-63.70037217
16.96642149,-64.32349144
17.85005212,-64.92168594
18.73369372,-65.59465475
19.61733166,-66.24269879
20.5009696,-66.89074282
21.3846185,-67.61356117
22.26827106,-68.36130429
23.15191631,-69.05919787
24.03557253,-69.83186576
24.9192324,-70.62945843
25.80288861,-71.40212632
26.68655579,-72.24956852
27.570212,-73.02223641
28.45388284,-73.89460339
29.33754636,-74.71712082
30.22121719,-75.58948779
31.10488802,-76.46185477
31.98855886,-77.33422174
32.872237,-78.25643826
33.75591149,-79.15373
34.63958597,-80.05102175
35.52326777,-80.99816303
36.40695322,-81.97022909
37.29062771,-82.86752083
38.17431316,-83.83958689
39.05800227,-84.83657772
39.94168406,-85.783719
40.82536951,-86.75578506
41.70905496,-87.72785112
42.59274773,-88.74976672
43.47644049,-89.77168231
44.36012959,-90.76867314
45.2438187,-91.76566397
46.12751146,-92.78757957
47.01120422,-93.80949517
47.89489698,-94.83141076
48.77859705,-95.9031759
49.66228981,-96.9250915
50.54598988,-97.99685664
51.42968264,-99.01877224
52.31338271,-100.0905374
53.19708278,-101.1623025
54.0807792,-102.2091429
54.96447927,-103.280908
55.84817934,-104.3526732
56.73188306,-105.4493631
57.61557948,-106.4962034
58.4992832,-107.5928934
59.38298693,-108.6895833
60.266687,-109.7613484
61.15039072,-110.8580383
62.03409444,-111.9547282
62.91780182,-113.0763429
63.80150555,-114.1730328
64.68520927,-115.2697227
65.56891665,-116.3913374
66.45262038,-117.4880273
67.33632776,-118.609642
68.22003148,-119.7063319
69.10373886,-120.8279466
69.98744624,-121.9495613
70.87115362,-123.071176
71.754861,-124.1927906
72.63857203,-125.3393301
73.52227941,-126.4609448
74.40598679,-127.5825594
75.28969782,-128.7290989
76.17340886,-129.8756384
77.05711258,-130.9723283
77.94082727,-132.1437925
78.82453831,-133.2903319
79.70824568,-134.4119466
80.59195672,-135.5584861
81.47566775,-136.7050255
82.35937879,-137.851565
83.24308982,-138.9981044
84.12680085,-140.1446439
85.01051189,-141.2911833
85.89422658,-142.4626475
86.77793396,-143.5842622
87.6616523,-144.7806512
88.54536333,-145.9271907
89.42907802,-147.0986549
90.31278906,-148.2451943
91.19650009,-149.3917338
92.08021478,-150.563198
92.96392581,-151.7097375
93.84764415,-152.9061265
94.73135153,-154.0277411
95.61506988,-155.2241301
96.49878457,-156.3955944
97.3824956,-157.5421338
98.26621029,-158.713598
99.14992498,-159.8850623
99.91312228,-160.8228568
